tokenizer_name,tokenizer_family,avg_tokens_per_sample,fertility,unk_rate,avg_token_length_chars,stage
biomedical_bpe_100k,custom,273.2633333333333,1.3011094005427968,0.0,5.122095692221119,stage4_tokenization_analysis
biomedical_bpe_50k,custom,273.2633333333333,1.3011094005427968,0.0,5.122095692221119,stage4_tokenization_analysis
biomedical_bpe_30k,custom,275.11,1.3099020743726888,0.0,5.080565796624609,stage4_tokenization_analysis
gpt2,baseline,313.3833333333333,1.492135794435539,0.0,5.010264180454068,stage4_tokenization_analysis
bert_base,baseline,323.88666666666666,1.5421461107495993,0.0,4.287130799072892,stage4_tokenization_analysis
biobert,baseline,339.49,1.6164394432364657,0.0,4.0520372062510255,stage4_tokenization_analysis
